City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,uthal,25.8072,66.6219,29.15,81,22,2.98,PK,1718929442
1,ribeira grande,38.5167,-28.7,19.32,84,100,1.34,PT,1718929444
2,port-aux-francais,-49.35,70.2167,2.32,69,41,8.43,TF,1718929445
3,puerto natales,-51.7236,-72.4875,-11.75,92,53,0.0,CL,1718929446
4,turtas,58.9417,69.1325,13.81,92,98,2.5,RU,1718929447
5,pisco,-13.7,-76.2167,18.03,82,0,2.57,PE,1718929449
6,badger,64.8,-147.5333,24.58,34,75,6.17,US,1718929450
7,lerwick,60.1545,-1.1494,11.0,89,98,6.0,GB,1718929452
8,st. john's,47.5649,-52.7093,22.09,77,40,7.72,CA,1718929453
9,hawaiian paradise park,19.5933,-154.9731,27.59,71,75,2.57,US,1718929455
10,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,76,75,5.0,RU,1718929456
11,brisas de zicatela,15.8369,-97.0419,28.29,83,75,1.54,MX,1718929457
12,cartagena del chaira,1.3349,-74.8429,22.61,98,92,1.69,CO,1718929458
13,tiksi,71.6872,128.8694,12.65,57,87,3.83,RU,1718929408
14,khandyga,62.6667,135.6,21.58,48,50,1.85,RU,1718929461
15,fortuna,40.5982,-124.1573,14.81,86,100,5.14,US,1718929462
16,naze,28.3667,129.4833,26.51,86,100,7.41,JP,1718929463
17,castillos,-34.1667,-53.8333,10.83,79,0,3.2,UY,1718929464
18,nova sintra,14.8667,-24.7167,24.37,83,83,10.93,CV,1718929466
19,georgetown,5.4112,100.3354,24.97,89,40,1.54,MY,1718929467
20,papatowai,-46.5619,169.4708,8.47,67,99,2.24,NZ,1718929468
21,taltal,-25.4,-70.4833,15.15,78,37,0.13,CL,1718929469
22,cabedelo,-6.9811,-34.8339,23.37,85,33,5.23,BR,1718929471
23,puerto ayora,-0.7393,-90.3518,21.97,97,83,0.89,EC,1718929472
24,kingston,17.997,-76.7936,29.53,70,40,8.23,JM,1718929455
25,mar del plata,-38.0023,-57.5575,10.51,74,0,8.94,AR,1718929474
26,villiers,-27.0303,28.6006,6.47,93,0,2.75,ZA,1718929476
27,usogorsk,63.4106,48.6872,13.97,86,100,3.54,RU,1718929477
28,el calafate,-50.3408,-72.2768,-6.03,88,95,2.72,AR,1718929478
29,gaspra,44.4333,34.1,18.38,74,1,4.39,UA,1718929480
30,yellowknife,62.456,-114.3525,21.34,40,75,4.12,CA,1718929418
31,bilibino,68.0546,166.4372,18.23,32,1,5.38,RU,1718929482
32,waitangi,-43.9535,-176.5597,9.9,83,29,2.68,NZ,1718929483
33,margaret river,-33.95,115.0667,16.02,65,100,7.95,AU,1718929484
